Item,URL,Price (USD)
Battery 6S 4500mAh 30C LiPo,https://www.amazon.com/Battery-Softcase-Quadcopter-Airplane-Helicopter/dp/B09CTT8RGG,99
Charger IMAX B6 LiPo balance charger,https://www.amazon.com/Battery-Charger-Balance-Discharger-Chargers/dp/B0G64JZ7JV,35
ESP32 DevKit V1,https://www.amazon.com/ESP-WROOM-32-Development-Microcontroller-Integrated-Compatible/dp/B08D5ZD528,17
Arduino Nano (already have),,0
NEO-6M GPS module,https://www.amazon.com/YELUFT-GY-NEO6MV2-Control-Support-Raspberry/dp/B0F2DKWJ4J,11
MPU-6050 IMU,https://www.amazon.com/dp/B00LP25V1A,12
SSD1306 0.96" OLED,https://www.amazon.com/UCTRONICS-SSD1306-Self-Luminous-Display-Raspberry/dp/B072Q2X2LL,14
Screw Terminals,https://www.amazon.com/Tugermoola-Terminal-Connector-Connectors-Terminals/dp/B0D1GSBQWF,9
WAGO Splicers,https://www.amazon.com/Connector-Assortment-Splicing-Electrical-Conductors/dp/B0DG5ZK1YS,25
MicroSD card module + MicroSD card,https://www.amazon.com/WWZMDiB-Adater-Module-Support-Arduino/dp/B0B779R5TZ,6
IRLZ44N MOSFET (headlight),https://www.amazon.com/ALLECIN-IRLZ44N-Transistors-IRLZ44NPBF-Mosfets/dp/B0CBKH4XGL,10
3.3V passive buzzer,https://www.amazon.com/Passive-Resistance-Electronic-Magnetic-Continuous/dp/B0F1KFHSNK,7
ZUDKSUY hall-effect thumb throttle,https://www.amazon.com/ZUDKSUY-Electric-Throttle-LeftRight-Replacement/dp/B0D6WB5JRM,10
Assorted Resistors,https://www.amazon.com/Avelis-Resistors-Assortment-Precision-Electronic/dp/B0FNRD8B3X,5
12V LED light bar (headlight),https://www.amazon.com/Lightboss-LED-Light-Off-Road-Waterproof/dp/B09YSWDXSY,9
Solder,https://www.amazon.com/MAIYUM-63-37-Solder-Electrical-Soldering/dp/B075WB98FJ,9
Step down buck boost converter,https://www.amazon.com/Seloky-Converter-Adjustable-Electronic-Stabilizer/dp/B0DBVYP91F,6
XT90-S (need to change to wired versions),https://www.amazon.com/FLY-RC-Connector-Anti-Spark-Adapter/dp/B0893CGLP7,13
Charging Lead,https://www.amazon.com/FLY-RC-Connector-11-8inch-Silicone/dp/B07C2DGM8D,9
10 AWG wiring black and red,https://www.amazon.com/Electrical-Extension-Conductors-Flexible-Voltage/dp/B0FFMXVDSC,15
UBEC,https://www.amazon.com/ShareGoo-Converter-Module-Quadcopter-Holder/dp/B07DYXTX9H,19
3D printed parts (filament),,15
